"Date","BLUECHIP.NS.Open","BLUECHIP.NS.High","BLUECHIP.NS.Low","BLUECHIP.NS.Close","BLUECHIP.NS.Volume","BLUECHIP.NS.Adjusted"
2015-01-02,0.4,0.45,0.4,0.4,4100,0.4
2015-01-05,0.45,0.45,0.4,0.45,22869,0.45
2015-01-06,0.45,0.45,0.45,0.45,2000,0.45
2015-01-07,0.4,0.4,0.4,0.4,10753,0.4
2015-01-08,0.4,0.4,0.35,0.4,2100,0.4
2015-01-09,0.35,0.4,0.35,0.35,7300,0.35
2015-01-12,0.3,0.3,0.3,0.3,1500,0.3
2015-01-13,0.3,0.3,0.3,0.3,0,0.3
2015-01-14,0.3,0.3,0.3,0.3,0,0.3
2015-01-15,0.3,0.3,0.3,0.3,3000,0.3
2015-01-16,0.35,0.35,0.35,0.35,4497,0.35
2015-01-19,0.3,0.3,0.3,0.3,6501,0.3
2015-01-20,0.35,0.35,0.35,0.35,100,0.35
2015-01-21,0.3,0.3,0.3,0.3,300,0.3
2015-01-22,0.3,0.3,0.3,0.3,11000,0.3
2015-01-23,0.3,0.3,0.3,0.3,0,0.3
2015-01-27,0.3,0.3,0.3,0.3,0,0.3
2015-01-28,0.3,0.3,0.3,0.3,1000,0.3
2015-01-29,0.3,0.3,0.25,0.3,507,0.3
2015-01-30,0.3,0.3,0.25,0.3,1500,0.3
2015-02-02,0.3,0.3,0.3,0.3,0,0.3
2015-02-03,0.3,0.3,0.3,0.3,2000,0.3
2015-02-04,0.3,0.3,0.25,0.3,5070,0.3
2015-02-05,0.3,0.3,0.3,0.3,1007,0.3
2015-02-06,0.3,0.3,0.3,0.3,110,0.3
2015-02-09,0.3,0.3,0.3,0.3,100,0.3
2015-02-10,0.3,0.3,0.3,0.3,0,0.3
2015-02-11,0.3,0.3,0.3,0.3,0,0.3
2015-02-12,0.3,0.3,0.3,0.3,0,0.3
2015-02-13,0.3,0.3,0.3,0.3,5000,0.3
2015-02-16,0.25,0.25,0.25,0.25,28577,0.25
2015-02-18,0.25,0.3,0.2,0.3,1100,0.3
2015-02-19,0.25,0.3,0.25,0.25,3300,0.25
2015-02-20,0.2,0.2,0.2,0.2,5795,0.2
2015-02-23,0.2,0.2,0.2,0.2,0,0.2
2015-02-24,0.2,0.2,0.2,0.2,8853,0.2
2015-02-25,0.25,0.25,0.25,0.25,1000,0.25
2015-02-26,0.3,0.3,0.3,0.3,25,0.3
2015-02-27,0.3,0.3,0.3,0.3,11200,0.3
2015-03-02,0.25,0.25,0.25,0.25,4000,0.25
2015-03-03,0.25,0.25,0.25,0.25,2115,0.25
2015-03-04,0.25,0.25,0.25,0.25,1100,0.25
2015-03-05,0.25,0.25,0.25,0.25,595,0.25
2015-03-09,0.25,0.3,0.25,0.3,5864,0.3
2015-03-10,0.35,0.35,0.3,0.35,1010,0.35
2015-03-11,0.35,0.35,0.35,0.35,100,0.35
2015-03-12,0.3,0.3,0.3,0.3,5200,0.3
2015-03-13,0.25,0.25,0.25,0.25,1757,0.25
2015-03-16,0.2,0.2,0.2,0.2,3000,0.2
2015-03-17,0.25,0.25,0.25,0.25,1000,0.25
2015-03-18,0.3,0.3,0.3,0.3,50,0.3
2015-03-19,0.25,0.25,0.25,0.25,1,0.25
2015-03-20,0.2,0.2,0.2,0.2,500,0.2
2015-03-23,0.2,0.2,0.2,0.2,1610,0.2
2015-03-24,0.2,0.2,0.2,0.2,0,0.2
2015-03-25,0.2,0.2,0.2,0.2,500,0.2
2015-03-26,0.2,0.2,0.2,0.2,0,0.2
2015-03-27,0.2,0.2,0.2,0.2,0,0.2
2015-03-30,0.15,0.2,0.15,0.15,10000,0.15
2015-03-31,0.2,0.2,0.2,0.2,1,0.2
2015-04-01,0.2,0.2,0.2,0.2,0,0.2
2015-04-06,0.2,0.2,0.2,0.2,0,0.2
2015-04-07,0.25,0.25,0.25,0.25,5,0.25
2015-04-08,0.25,0.25,0.2,0.25,1850,0.25
2015-04-09,0.25,0.25,0.25,0.25,98,0.25
2015-04-10,0.3,0.3,0.3,0.3,2700,0.3
2015-04-13,0.25,0.3,0.25,0.25,11100,0.25
2015-04-15,0.25,0.3,0.25,0.3,710,0.3
2015-04-16,0.3,0.3,0.3,0.3,0,0.3
2015-04-17,0.3,0.3,0.3,0.3,0,0.3
2015-04-20,0.25,0.25,0.25,0.25,101,0.25
2015-04-21,0.25,0.25,0.25,0.25,200,0.25
2015-04-22,0.3,0.3,0.2,0.3,9810,0.3
2015-04-23,0.3,0.3,0.3,0.3,0,0.3
2015-04-24,0.3,0.3,0.3,0.3,0,0.3
2015-04-27,0.3,0.3,0.3,0.3,100,0.3
2015-04-28,0.3,0.3,0.3,0.3,3650,0.3
2015-04-29,0.3,0.3,0.3,0.3,201,0.3
2015-04-30,0.3,0.3,0.3,0.3,0,0.3
2015-05-04,0.3,0.3,0.3,0.3,500,0.3
2015-05-05,0.3,0.3,0.3,0.3,1836,0.3
2015-05-06,0.3,0.3,0.3,0.3,500,0.3
2015-05-07,0.3,0.3,0.3,0.3,0,0.3
2015-05-08,0.3,0.3,0.3,0.3,0,0.3
2015-05-11,0.3,0.3,0.3,0.3,0,0.3
2015-05-12,0.3,0.3,0.3,0.3,0,0.3
2015-05-13,0.3,0.3,0.3,0.3,0,0.3
2015-05-14,0.3,0.3,0.3,0.3,0,0.3
2015-05-15,0.25,0.25,0.25,0.25,1600,0.25
2015-05-18,0.2,0.25,0.2,0.2,1550,0.2
2015-05-19,0.2,0.2,0.2,0.2,0,0.2
2015-05-20,0.25,0.25,0.25,0.25,1450,0.25
2015-05-21,0.25,0.3,0.25,0.25,16185,0.25
2015-05-22,0.3,0.3,0.2,0.3,10500,0.3
2015-05-25,0.3,0.3,0.3,0.3,100,0.3
2015-05-26,0.3,0.3,0.3,0.3,0,0.3
2015-05-27,0.3,0.3,0.3,0.3,1,0.3
2015-05-28,0.3,0.3,0.3,0.3,350,0.3
2015-05-29,0.3,0.3,0.3,0.3,0,0.3
2015-06-01,0.3,0.3,0.3,0.3,0,0.3
2015-06-02,0.3,0.3,0.3,0.3,0,0.3
2015-06-03,0.25,0.25,0.25,0.25,10220,0.25
2015-06-04,0.2,0.25,0.2,0.2,10001,0.2
2015-06-05,0.2,0.2,0.2,0.2,685,0.2
2015-06-08,0.2,0.2,0.2,0.2,0,0.2
2015-06-09,0.2,0.25,0.2,0.2,13100,0.2
2015-06-10,0.15,0.15,0.15,0.15,200,0.15
2015-06-11,0.2,0.2,0.2,0.2,7100,0.2
2015-06-12,0.2,0.2,0.2,0.2,800,0.2
2015-06-15,0.2,0.2,0.2,0.2,0,0.2
2015-06-16,0.15,0.15,0.15,0.15,2000,0.15
2015-06-17,0.15,0.15,0.15,0.15,100,0.15
2015-06-18,0.15,0.15,0.15,0.15,2000,0.15
2015-06-19,0.15,0.15,0.15,0.15,23433,0.15
2015-06-22,0.15,0.15,0.15,0.15,1000,0.15
2015-06-23,0.15,0.15,0.15,0.15,0,0.15
2015-06-24,0.2,0.2,0.2,0.2,11,0.2
2015-06-25,0.2,0.2,0.2,0.2,0,0.2
2015-06-26,0.2,0.2,0.2,0.2,400,0.2
2015-06-29,0.2,0.2,0.2,0.2,0,0.2
2015-06-30,0.15,0.15,0.15,0.15,4000,0.15
2015-07-01,0.15,0.15,0.15,0.15,5000,0.15
2015-07-02,0.15,0.15,0.15,0.15,0,0.15
2015-07-03,0.15,0.15,0.15,0.15,0,0.15
2015-07-06,0.15,0.15,0.15,0.15,0,0.15
2015-07-07,0.15,0.15,0.15,0.15,0,0.15
2015-07-08,0.15,0.15,0.15,0.15,0,0.15
2015-07-09,0.15,0.15,0.15,0.15,0,0.15
2015-07-10,0.15,0.15,0.15,0.15,0,0.15
2015-07-13,0.15,0.15,0.15,0.15,180,0.15
2015-07-14,0.2,0.2,0.2,0.2,90,0.2
2015-07-15,0.2,0.2,0.2,0.2,500,0.2
2015-07-16,0.2,0.2,0.2,0.2,500,0.2
2015-07-17,0.2,0.2,0.2,0.2,9506,0.2
2015-07-20,0.2,0.2,0.2,0.2,0,0.2
2015-07-21,0.25,0.25,0.25,0.25,7000,0.25
2015-07-22,0.25,0.25,0.2,0.25,12221,0.25
2015-07-23,0.3,0.3,0.3,0.3,3600,0.3
2015-07-24,0.35,0.35,0.3,0.35,12300,0.35
2015-07-27,0.35,0.35,0.35,0.35,22500,0.35
2015-07-28,0.4,0.4,0.4,0.4,28000,0.4
2015-07-29,0.4,0.4,0.4,0.4,0,0.4
2015-07-30,0.4,0.4,0.4,0.4,10000,0.4
2015-07-31,0.4,0.4,0.4,0.4,0,0.4
2015-08-03,0.4,0.4,0.35,0.4,12750,0.4
2015-08-04,0.35,0.35,0.35,0.35,9000,0.35
2015-08-05,0.35,0.35,0.35,0.35,10000,0.35
2015-08-06,0.3,0.3,0.3,0.3,3942,0.3
2015-08-07,0.3,0.3,0.25,0.3,14500,0.3
2015-08-10,0.35,0.35,0.35,0.35,44046,0.35
2015-08-11,0.3,0.3,0.3,0.3,100,0.3
2015-08-12,0.3,0.3,0.3,0.3,200,0.3
2015-08-13,0.3,0.3,0.3,0.3,200,0.3
2015-08-14,0.3,0.3,0.3,0.3,0,0.3
2015-08-17,0.3,0.3,0.3,0.3,5000,0.3
2015-08-18,0.3,0.3,0.3,0.3,7000,0.3
2015-08-19,0.25,0.25,0.25,0.25,7500,0.25
2015-08-20,0.3,0.3,0.3,0.3,5600,0.3
2015-08-21,0.25,0.25,0.25,0.25,500,0.25
2015-08-24,0.25,0.25,0.25,0.25,0,0.25
2015-08-25,0.25,0.25,0.25,0.25,0,0.25
2015-08-26,0.25,0.25,0.25,0.25,0,0.25
2015-08-27,0.25,0.25,0.25,0.25,0,0.25
2015-08-28,0.25,0.25,0.25,0.25,0,0.25
2015-08-31,0.25,0.25,0.25,0.25,0,0.25
2015-09-01,0.25,0.25,0.25,0.25,0,0.25
2015-09-02,0.2,0.2,0.2,0.2,3,0.2
2015-09-03,0.2,0.2,0.2,0.2,12000,0.2
2015-09-04,0.2,0.2,0.2,0.2,10,0.2
2015-09-07,0.2,0.2,0.2,0.2,0,0.2
2015-09-08,0.2,0.2,0.2,0.2,0,0.2
2015-09-09,0.2,0.2,0.2,0.2,0,0.2
2015-09-10,0.2,0.2,0.2,0.2,0,0.2
2015-09-11,0.2,0.2,0.2,0.2,0,0.2
2015-09-14,0.2,0.2,0.2,0.2,350,0.2
2015-09-15,0.2,0.2,0.2,0.2,1380,0.2
2015-09-16,0.2,0.2,0.2,0.2,1380,0.2
2015-09-18,0.2,0.2,0.2,0.2,0,0.2
2015-09-21,0.2,0.2,0.2,0.2,0,0.2
2015-09-22,0.25,0.25,0.25,0.25,2500,0.25
2015-09-23,0.25,0.25,0.25,0.25,0,0.25
2015-09-24,0.25,0.25,0.25,0.25,2000,0.25
2015-09-28,0.25,0.25,0.25,0.25,0,0.25
2015-09-29,0.25,0.25,0.25,0.25,0,0.25
2015-09-30,0.2,0.2,0.2,0.2,17220,0.2
2015-10-01,0.25,0.25,0.25,0.25,6780,0.25
2015-10-05,0.25,0.25,0.25,0.25,0,0.25
2015-10-06,0.3,0.3,0.3,0.3,13448,0.3
2015-10-07,0.3,0.3,0.3,0.3,0,0.3
2015-10-08,0.25,0.25,0.25,0.25,1000,0.25
2015-10-09,0.25,0.25,0.25,0.25,100,0.25
2015-10-12,0.25,0.3,0.25,0.3,2345,0.3
2015-10-13,0.3,0.3,0.3,0.3,50,0.3
2015-10-14,0.3,0.3,0.3,0.3,1,0.3
2015-10-15,0.3,0.3,0.3,0.3,2200,0.3
2015-10-16,0.3,0.3,0.25,0.25,20001,0.25
2015-10-19,0.3,0.3,0.25,0.3,105986,0.3
2015-10-20,0.3,0.35,0.25,0.3,82249,0.3
2015-10-21,0.3,0.35,0.3,0.35,26477,0.35
2015-10-23,0.35,0.35,0.3,0.35,28778,0.35
2015-10-26,0.35,0.35,0.3,0.35,6367,0.35
2015-10-27,0.3,0.35,0.3,0.3,4789,0.3
2015-10-28,0.3,0.35,0.3,0.35,31794,0.35
2015-10-29,0.35,0.35,0.35,0.35,400,0.35
2015-10-30,0.35,0.35,0.3,0.3,6532,0.3
2015-11-02,0.3,0.35,0.3,0.35,13305,0.35
2015-11-03,0.35,0.35,0.3,0.3,2105,0.3
2015-11-04,0.3,0.3,0.25,0.3,14290,0.3
2015-11-05,0.3,0.3,0.25,0.3,23082,0.3
2015-11-06,0.3,0.3,0.3,0.3,1946,0.3
2015-11-09,0.25,0.3,0.25,0.25,3152,0.25
2015-11-10,0.25,0.3,0.25,0.3,22142,0.3
2015-11-13,0.3,0.3,0.25,0.25,9672,0.25
2015-11-16,0.3,0.3,0.25,0.25,40838,0.25
2015-11-17,0.25,0.3,0.25,0.3,24342,0.3
2015-11-18,0.35,0.35,0.3,0.3,40182,0.3
2015-11-19,0.3,0.35,0.25,0.35,18605,0.35
2015-11-20,0.35,0.35,0.3,0.35,16487,0.35
2015-11-23,0.35,0.35,0.3,0.35,10502,0.35
2015-11-24,0.35,0.35,0.3,0.35,9605,0.35
2015-11-26,0.35,0.35,0.3,0.35,11317,0.35
2015-11-27,0.3,0.35,0.3,0.3,2880,0.3
2015-11-30,0.35,0.35,0.3,0.3,10948,0.3
2015-12-01,0.35,0.35,0.3,0.35,12273,0.35
2015-12-02,0.35,0.35,0.3,0.3,18806,0.3
2015-12-03,0.3,0.35,0.3,0.3,12718,0.3
2015-12-04,0.25,0.35,0.25,0.25,38826,0.25
2015-12-07,0.25,0.3,0.25,0.3,29024,0.3
2015-12-08,0.35,0.35,0.3,0.3,18139,0.3
2015-12-09,0.3,0.35,0.3,0.3,41042,0.3
2015-12-10,0.3,0.35,0.25,0.35,21775,0.35
2015-12-11,0.3,0.4,0.3,0.4,25417,0.4
2015-12-14,0.35,0.4,0.35,0.35,71861,0.35
2015-12-15,0.3,0.4,0.3,0.35,14198,0.35
2015-12-16,0.3,0.4,0.3,0.3,24255,0.3
2015-12-17,0.3,0.35,0.3,0.3,10679,0.3
2015-12-18,0.35,0.35,0.35,0.35,23538,0.35
2015-12-21,0.35,0.4,0.35,0.35,30587,0.35
2015-12-22,0.35,0.35,0.3,0.35,71564,0.35
2015-12-23,0.3,0.4,0.3,0.35,43645,0.35
2015-12-24,0.3,0.35,0.3,0.35,16944,0.35
2015-12-28,0.35,0.4,0.3,0.3,9370,0.3
2015-12-29,0.35,0.35,0.35,0.35,16780,0.35
2015-12-30,0.35,0.4,0.35,0.35,8921,0.35
2015-12-31,0.4,0.4,0.35,0.4,25805,0.4
2016-01-01,0.4,0.45,0.35,0.45,89260,0.45
2016-01-04,0.45,0.5,0.4,0.45,23051,0.45
2016-01-05,0.45,0.45,0.4,0.4,4404,0.4
2016-01-06,0.35,0.45,0.35,0.45,99169,0.45
2016-01-07,0.45,0.5,0.45,0.5,36115,0.5
2016-01-08,0.55,0.55,0.45,0.5,68035,0.5
2016-01-11,0.55,0.55,0.55,0.55,1515,0.55
2016-01-12,0.5,0.55,0.5,0.5,5500,0.5
2016-01-13,0.5,0.5,0.5,0.5,1200,0.5
2016-01-14,0.45,0.5,0.45,0.45,11285,0.45
2016-01-15,0.45,0.45,0.45,0.45,5000,0.45
2016-01-18,0.4,0.45,0.4,0.4,5052,0.4
2016-01-19,0.45,0.45,0.45,0.45,5000,0.45
2016-01-20,0.5,0.5,0.5,0.5,3000,0.5
2016-01-21,0.45,0.55,0.45,0.45,1451,0.45
2016-01-22,0.45,0.45,0.45,0.45,2750,0.45
2016-01-25,0.45,0.45,0.45,0.45,5350,0.45
2016-01-27,0.45,0.45,0.4,0.4,2620,0.4
2016-01-28,0.4,0.4,0.4,0.4,0,0.4
2016-01-29,0.45,0.45,0.45,0.45,1000,0.45
2016-02-01,0.45,0.45,0.45,0.45,4325,0.45
2016-02-02,0.45,0.45,0.45,0.45,0,0.45
2016-02-03,0.45,0.5,0.45,0.45,10400,0.45
2016-02-04,0.45,0.5,0.45,0.45,8560,0.45
2016-02-05,0.5,0.5,0.45,0.5,4050,0.5
2016-02-08,0.55,0.55,0.55,0.55,9004,0.55
2016-02-09,0.55,0.55,0.55,0.55,0,0.55
2016-02-10,0.5,0.5,0.5,0.5,4000,0.5
2016-02-11,0.55,0.55,0.45,0.55,2500,0.55
2016-02-12,0.5,0.5,0.5,0.5,1000,0.5
2016-02-15,0.5,0.5,0.5,0.5,1100,0.5
2016-02-16,0.45,0.45,0.45,0.45,29641,0.45
2016-02-17,0.45,0.45,0.45,0.45,0,0.45
2016-02-18,0.45,0.45,0.45,0.45,0,0.45
2016-02-19,0.45,0.45,0.45,0.45,0,0.45
2016-02-22,0.5,0.5,0.5,0.5,1717,0.5
2016-02-23,0.5,0.5,0.5,0.5,650,0.5
2016-02-24,0.55,0.55,0.55,0.55,25000,0.55
2016-02-25,0.55,0.55,0.55,0.55,3000,0.55
2016-02-26,0.5,0.5,0.5,0.5,1000,0.5
2016-02-29,0.5,0.5,0.5,0.5,696,0.5
2016-03-01,0.5,0.5,0.5,0.5,19898,0.5
2016-03-02,0.5,0.5,0.5,0.5,0,0.5
2016-03-03,0.5,0.5,0.5,0.5,0,0.5
2016-03-04,0.5,0.5,0.5,0.5,0,0.5
2016-03-08,0.5,0.55,0.5,0.55,14950,0.55
2016-03-09,0.55,0.55,0.55,0.55,425,0.55
2016-03-10,0.5,0.5,0.5,0.5,7500,0.5
2016-03-11,0.55,0.55,0.55,0.55,1400,0.55
2016-03-14,0.55,0.55,0.55,0.55,10000,0.55
2016-03-15,0.6,0.6,0.6,0.6,69,0.6
2016-03-16,0.6,0.6,0.6,0.6,202,0.6
2016-03-17,0.65,0.65,0.65,0.65,34500,0.65
2016-03-18,0.65,0.65,0.65,0.65,3600,0.65
2016-03-21,0.65,0.65,0.6,0.65,2700,0.65
2016-03-22,0.65,0.65,0.65,0.65,1,0.65
2016-03-23,0.6,0.6,0.6,0.6,10000,0.6
2016-03-28,0.6,0.65,0.55,0.55,2650,0.55
2016-03-29,0.55,0.55,0.55,0.55,4988,0.55
2016-03-30,0.6,0.6,0.6,0.6,12540,0.6
2016-03-31,0.6,0.6,0.6,0.6,11324,0.6
2016-04-01,0.55,0.55,0.55,0.55,100,0.55
2016-04-04,0.55,0.55,0.55,0.55,12400,0.55
2016-04-05,0.55,0.55,0.55,0.55,15816,0.55
2016-04-06,0.5,0.5,0.5,0.5,6000,0.5
2016-04-07,0.5,0.5,0.5,0.5,0,0.5
2016-04-08,0.5,0.5,0.45,0.5,2840,0.5
2016-04-11,0.45,0.45,0.45,0.45,2616,0.45
2016-04-12,0.45,0.45,0.4,0.4,12984,0.4
2016-04-13,0.4,0.4,0.4,0.4,50,0.4
2016-04-18,0.4,0.4,0.4,0.4,100,0.4
2016-04-20,0.4,0.45,0.35,0.45,14499,0.45
2016-04-21,0.45,0.5,0.45,0.5,2200,0.5
2016-04-22,0.55,0.55,0.5,0.55,9611,0.55
2016-04-25,0.55,0.6,0.5,0.6,6600,0.6
2016-04-26,0.55,0.65,0.55,0.6,7260,0.6
2016-04-27,0.6,0.65,0.55,0.55,5901,0.55
2016-04-28,0.55,0.6,0.5,0.5,2300,0.5
2016-04-29,0.55,0.55,0.55,0.55,1800,0.55
2016-05-02,0.5,0.6,0.5,0.6,40,0.6
2016-05-03,0.55,0.55,0.55,0.55,3436,0.55
2016-05-04,0.55,0.55,0.55,0.55,1020,0.55
2016-05-05,0.5,0.55,0.5,0.55,12025,0.55
2016-05-06,0.5,0.5,0.5,0.5,10196,0.5
2016-05-09,0.55,0.55,0.5,0.5,6690,0.5
2016-05-10,0.45,0.55,0.45,0.55,7194,0.55
2016-05-11,0.55,0.55,0.55,0.55,2500,0.55
2016-05-12,0.55,0.55,0.55,0.55,25,0.55
2016-05-13,0.55,0.55,0.5,0.55,11520,0.55
2016-05-16,0.6,0.6,0.55,0.55,925,0.55
2016-05-17,0.5,0.55,0.5,0.55,525,0.55
2016-05-18,0.5,0.5,0.5,0.5,37225,0.5
2016-05-19,0.5,0.55,0.45,0.5,6739,0.5
2016-05-20,0.5,0.5,0.45,0.5,19503,0.5
2016-05-23,0.5,0.5,0.5,0.5,8025,0.5
2016-05-24,0.45,0.55,0.45,0.55,16371,0.55
2016-05-25,0.55,0.55,0.5,0.55,313,0.55
2016-05-26,0.55,0.55,0.55,0.55,150,0.55
2016-05-27,0.55,0.55,0.55,0.55,0,0.55
2016-05-30,0.5,0.5,0.5,0.5,9660,0.5
2016-05-31,0.45,0.55,0.45,0.5,21225,0.5
2016-06-01,0.5,0.55,0.5,0.5,16950,0.5
2016-06-02,0.45,0.5,0.45,0.45,3063,0.45
2016-06-03,0.5,0.5,0.45,0.5,10087,0.5
2016-06-06,0.5,0.5,0.5,0.5,7135,0.5
2016-06-07,0.5,0.55,0.45,0.5,10281,0.5
2016-06-08,0.45,0.5,0.45,0.5,12945,0.5
2016-06-09,0.45,0.55,0.45,0.5,8590,0.5
2016-06-10,0.45,0.5,0.45,0.5,7620,0.5
2016-06-13,0.5,0.5,0.45,0.45,6156,0.45
2016-06-14,0.5,0.5,0.45,0.45,2099,0.45
2016-06-15,0.45,0.5,0.45,0.5,1533,0.5
2016-06-16,0.5,0.55,0.45,0.5,23866,0.5
2016-06-17,0.55,0.55,0.45,0.45,2161,0.45
2016-06-20,0.4,0.5,0.4,0.5,10342,0.5
2016-06-21,0.45,0.55,0.45,0.5,3670,0.5
2016-06-22,0.5,0.5,0.5,0.5,5150,0.5
2016-06-23,0.45,0.55,0.45,0.55,3560,0.55
2016-06-24,0.55,0.55,0.55,0.55,210,0.55
2016-06-27,0.55,0.55,0.55,0.55,0,0.55
2016-06-28,0.55,0.55,0.55,0.55,100,0.55
2016-06-29,0.55,0.55,0.5,0.55,9067,0.55
2016-06-30,0.5,0.5,0.5,0.5,8774,0.5
2016-07-01,0.5,0.5,0.45,0.5,28915,0.5
2016-07-04,0.45,0.5,0.45,0.5,4497,0.5
2016-07-05,0.45,0.5,0.45,0.5,1332,0.5
2016-07-07,0.5,0.55,0.45,0.5,18366,0.5
2016-07-08,0.45,0.55,0.45,0.45,62873,0.45
2016-07-11,0.5,0.5,0.45,0.5,19079,0.5
2016-07-12,0.55,0.55,0.45,0.55,5200,0.55
2016-07-13,0.55,0.55,0.55,0.55,0,0.55
2016-07-14,0.55,0.55,0.55,0.55,0,0.55
2016-07-15,0.55,0.55,0.55,0.55,0,0.55
2016-07-18,0.5,0.5,0.5,0.5,4900,0.5
2016-07-19,0.45,0.45,0.45,0.45,12591,0.45
2016-07-20,0.45,0.45,0.4,0.45,16190,0.45
2016-07-21,0.45,0.45,0.45,0.45,110,0.45
2016-07-22,0.4,0.45,0.4,0.4,21526,0.4
2016-07-25,0.45,0.45,0.45,0.45,12110,0.45
2016-07-26,0.45,0.45,0.4,0.45,13360,0.45
